#Wj xj yj
2.855536060775159e-60 1.3720392833333335 1.875
2.9802626631408195e-60 1.4442518766666668 2.0
2.854472524410347e-60 1.3720392833333335 2.125
2.981373342914405e-60 1.4442518766666668 2.25
2.853753021931209e-60 1.3720392833333335 2.375
2.97934214984579e-60 1.4442518766666668 2.5
2.8542882193902883e-60 1.3720392833333335 2.625
2.9815051238688753e-60 1.4442518766666668 2.75
2.854722147340243e-60 1.3720392833333335 2.875
2.980677082193001e-60 1.4442518766666668 3.0
2.855891167974229e-60 1.3720392833333335 3.125
2.983780994192109e-60 1.4442518766666668 3.25
2.856765878800764e-60 1.3720392833333335 3.375
2.98397530505892e-60 1.4442518766666668 3.5
2.86032570202777e-60 1.3720392833333335 3.625
2.9941729257439213e-60 1.4442518766666668 3.75
2.876695068568558e-60 1.3720392833333335 3.875
3.033539410678994e-60 1.4442518766666668 4.0
2.950488063729622e-60 1.3720392833333335 4.125
3.156299133369002e-60 1.4442518766666668 4.25
3.1369966044582174e-60 1.3720392833333335 4.375
3.432832697088504e-60 1.4442518766666668 4.5
3.517005544712158e-60 1.3720392833333335 4.625
3.978967622221172e-60 1.4442518766666668 4.75
4.2122993679075707e-60 1.3720392833333335 4.875
4.694457147636292e-60 1.4442518766666668 4.958333333333333
4.893519730380735e-60 1.5886770633333331 0.041666666666666664
4.918885379227029e-60 1.6608896566666667 0.125
4.343917762594371e-60 1.5886770633333331 0.25
4.184763811289438e-60 1.6608896566666667 0.375
3.766118575136141e-60 1.5886770633333331 0.5
3.751838891561556e-60 1.6608896566666667 0.625
3.4641746766957963e-60 1.5886770633333331 0.75
3.540215126838778e-60 1.6608896566666667 0.875
3.3272517317530767e-60 1.5886770633333331 1.0
3.452708228472097e-60 1.6608896566666667 1.125
3.2784157324625384e-60 1.5886770633333331 1.25
3.4180507281391477e-60 1.6608896566666667 1.375
3.2613090897843825e-60 1.5886770633333331 1.5
3.410021907372403e-60 1.6608896566666667 1.625
3.258946772658702e-60 1.5886770633333331 1.75
3.4098884065476534e-60 1.6608896566666667 1.875
3.258311570093401e-60 1.5886770633333331 2.0
3.4072047313745004e-60 1.6608896566666667 2.125
3.2573874740948556e-60 1.5886770633333331 2.25
3.4081547631361156e-60 1.6608896566666667 2.375
3.2572292669827204e-60 1.5886770633333331 2.5
3.4062451075766e-60 1.6608896566666667 2.625
3.2573920244954836e-60 1.5886770633333331 2.75
3.408497720604582e-60 1.6608896566666667 2.875
3.258466769529687e-60 1.5886770633333331 3.0
3.409307325719239e-60 1.6608896566666667 3.125
3.259290705839907e-60 1.5886770633333331 3.25
3.410538014609073e-60 1.6608896566666667 3.375
3.261430773351639e-60 1.5886770633333331 3.5
3.4170272609670605e-60 1.6608896566666667 3.625
3.27594968852561e-60 1.5886770633333331 3.75
3.4477321782367626e-60 1.6608896566666667 3.875
3.3204629707703694e-60 1.5886770633333331 4.0
3.528799556204055e-60 1.6608896566666667 4.125
3.447271781529494e-60 1.5886770633333331 4.25
3.72773055518625e-60 1.6608896566666667 4.375
3.734750144091194e-60 1.5886770633333331 4.5
4.144626022557296e-60 1.6608896566666667 4.625
4.2917896645091294e-60 1.5886770633333331 4.75
4.854921156181325e-60 1.6608896566666667 4.875
4.9054020097640906e-60 1.5886770633333331 4.958333333333333
6.036550363714175e-60 1.8775274433333333 0.041666666666666664
